,character,role,movie,line,line_sw,line_sw_stem
376,james rhodes,hero,iron man,lot of people around here will be happy to hear that what you said at that press conference really threw everyone,lot people around happy hear said press conference really threw everyone,lot peopl around happi hear said press confer realli threw everyon
377,tony stark,hero,iron man,i mean what i said,mean said,mean said
378,james rhodes,hero,iron man,no you don’t you took a bad hit it spun you around,don’t took bad hit spun around,don’t took bad hit spun around
379,tony stark,hero,iron man,maybe i do need a little time,maybe need little time,mayb need littl time
380,james rhodes,hero,iron man,all right then good seeing you,right good seeing,right good see
381,tony stark,hero,iron man,likewise,likewise,likewis
383,tony stark,hero,iron man,it’s a flight stabilizer,it’s flight stabilizer,it’ flight stabil
385,tony stark,hero,iron man,be right up this this is the big big idea it can pull the company in a whole new direction,right big big idea pull company whole new direction,right big big idea pull compani whole new direct
386,obadiah stane,villain,iron man,that’s great get me the design as soon as you can we’ve got a hungry production line that knock out a prototype in days,that’s great get design soon we’ve got hungry production line knock prototype days,that’ great get design soon we’v got hungri product line knock prototyp day
387,tony stark,hero,iron man,you know i had a moment there where i was reluctant but i know now i made the best decision i feel like i’m doing something right finally thank you for supporting me in this,know moment reluctant know made best decision feel like i’m something right finally thank supporting,know moment reluct know made best decis feel like i’m someth right final thank support
388,obadiah stane,villain,iron man,listen i have something to talk to you about i really wish you’d attended the last board meeting like i asked you to,listen something talk really wish you’d attended last board meeting like asked,listen someth talk realli wish you’d attend last board meet like ask
389,tony stark,hero,iron man,i know i’m sorry what did i miss,know i’m sorry miss,know i’m sorri miss
390,obadiah stane,villain,iron man,the board’s filed an injunction against you,board’s filed injunction,board’ file injunct
391,tony stark,hero,iron man,what,,
392,obadiah stane,villain,iron man,they claim you’re unfit to run the company and want to lock you out,claim you’re unfit run company want lock,claim you’r unfit run compani want lock
393,tony stark,hero,iron man,how the hell can they do that it’s my name on the building my ideas that drive that company,hell it’s name building ideas drive company,hell it’ name build idea drive compani
394,obadiah stane,villain,iron man,they’re going to try we’ll fight them of course,they’re going try we’ll fight course,they’r go tri we’ll fight cours
395,tony stark,hero,iron man,with the amount of stocks we own i thought we controlled the company,amount stocks thought controlled company,amount stock thought control compani
396,obadiah stane,villain,iron man,i don’t know somehow they pulled enough votes together listen the world doesn’t share your vision tony the more people have to lose the more frightened they are of new ideas now listen i don’t want you to get all in knots you know how many times i protected your father from the wolves get back to your lab and work some magic you let me handle the board oh and tony no more press conferences,don’t know somehow pulled enough votes together listen world doesn’t share vision tony people lose frightened new ideas listen don’t want get knots know many times protected father wolves get back lab work magic let handle board oh tony press conferences,don’t know somehow pull enough vote togeth listen world doesn’t share vision toni peopl lose frighten new idea listen don’t want get knot know mani time protect father wolv get back lab work magic let handl board oh toni press confer
397,tony stark,hero,iron man,nothing to it all right let’s get to work standby for calibration whoa we should take this outside,nothing right let’s get work standby calibration whoa take outside,noth right let’ get work standbi calibr whoa take outsid
399,tony stark,hero,iron man,we’ll do them in flight,we’ll flight,we’ll flight
401,tony stark,hero,iron man,that’s why you’re coming with me,that’s you’re coming,that’ you’r come
403,tony stark,hero,iron man,never interrupt me while i’m with a beautiful woman,never interrupt i’m beautiful woman,never interrupt i’m beauti woman
405,tony stark,hero,iron man,whatever floats you jarvis,whatever floats jarvis,whatev float jarvi
407,tony stark,hero,iron man,uhh jarvis jarvis status status reboot,uhh jarvis jarvis status status reboot,uhh jarvi jarvi statu statu reboot
409,tony stark,hero,iron man,jarvis i think we need to chat about uh directive four,jarvis think need chat uh directive four,jarvi think need chat uh direct four
411,tony stark,hero,iron man,you’re a downer jarvis but i appreciate the heads up,you’re downer jarvis appreciate heads,you’r downer jarvi appreci head
413,tony stark,hero,iron man,no i got it i got it perfect let’s do some upgrades,got got perfect let’s upgrades,got got perfect let’ upgrad
415,tony stark,hero,iron man,yeah and it doesn’t have a seatbelt either a few issues main transducer felt sluggish at plus forty altitude same goes for hull pressurization i’m thinking icing might be a factor,yeah doesn’t seatbelt either issues main transducer felt sluggish plus forty altitude goes hull pressurization i’m thinking icing might factor,yeah doesn’t seatbelt either issu main transduc felt sluggish plu forti altitud goe hull pressur i’m think ice might factor
417,tony stark,hero,iron man,re configure using the gold titanium alloy from the seraphim tactical satellite it should ensure fuselage integrity to thousand feet while maintaining power to weight ratio,configure using gold titanium alloy seraphim tactical satellite ensure fuselage integrity thousand feet maintaining power weight ratio,configur use gold titanium alloy seraphim tactic satellit ensur fuselag integr thousand feet maintain power weight ratio
